field_name,code,display,order
AE_AEYN,N,No,1
AE_AEYN,Y,Yes,2
AE_AEONGO,N,No,1
AE_AEONGO,Y,Yes,2
AE_AESEV,MILD,Mild,1
AE_AESEV,MODERATE,Moderate,2
AE_AESEV,SEVERE,Severe,3
AE_AESER,N,No,1
AE_AESER,Y,Yes,2
AE_AESDTH,N,No,1
AE_AESDTH,Y,Yes,2
AE_AESLIFE,N,No,1
AE_AESLIFE,Y,Yes,2
AE_AESHOSP,N,No,1
AE_AESHOSP,Y,Yes,2
AE_AESDISAB,N,No,1
AE_AESDISAB,Y,Yes,2
AE_AESCONG,N,No,1
AE_AESCONG,Y,Yes,2
AE_AESMIE,N,No,1
AE_AESMIE,Y,Yes,2
AE_AEREL,N,No,1
AE_AEREL,Y,Yes,2
AE_AEACN,DOSE INCREASED,Dose Increased,1
AE_AEACN,DOSE NOT CHANGED,Dose Not Changed,2
AE_AEACN,DOSE RATE REDUCED,Dose Rate Reduced,3
AE_AEACN,DOSE REDUCED,Dose Reduced,4
AE_AEACN,DRUG INTERRUPTED,Drug Interrupted,5
AE_AEACN,DRUG WITHDRAWN,Drug Withdrawn,6
AE_AEACN,NOT APPLICABLE,Not Applicable,7
AE_AEACN,UNKNOWN,Unknown,8
AE_AEOUT,FATAL,Fatal,1
AE_AEOUT,NOT RECOVERED/NOT RESOLVED,Not Recovered or Not Resolved,2
AE_AEOUT,RECOVERED/RESOLVED,Recovered or Resolved,3
AE_AEOUT,RECOVERED/RESOLVED WITH SEQUELAE,Recovered or Resolved with Sequelae,4
AE_AEOUT,RECOVERING/RESOLVING,Recovering or Resolving,5
AE_AEOUT,UNKNOWN,Unknown,6
CM_CMYN,N,No,1
CM_CMYN,Y,Yes,2
CM_CMDOSU,%(v/v),Percent Volume per Volume,1
CM_CMDOSU,CAPSULE,Capsule,2
CM_CMDOSU,g,Gram,3
CM_CMDOSU,INHALATION,Inhalation,4
CM_CMDOSU,IU,International Dosing Unit,5
CM_CMDOSU,L/h,Liter per Hour,6
CM_CMDOSU,L/min,Liter per Minute,7
CM_CMDOSU,mg,Milligram,8
CM_CMDOSU,mg/kg,Milligram per Kilogram,9
CM_CMDOSU,mL,Milliliter,10
CM_CMDOSU,mL/h,Milliliter per Hour,11
CM_CMDOSU,mL/kg,Milliliter per Kilogram,12
CM_CMDOSU,PUFF,Puff,13
CM_CMDOSU,SPRAY,Spray,14
CM_CMDOSU,TABLET,Tablet,15
CM_CMDOSU,ug,Microgram,16
CM_CMDOSU,ug/kg,Microgram per Kilogram,17
CM_CMDOSU,OTHER,Other,18
CM_CMDOSFRM,AEROSOL,Aerosol,1
CM_CMDOSFRM,CAPSULE,Capsule,2
CM_CMDOSFRM,CREAM,Cream,3
CM_CMDOSFRM,GAS,Gas,4
CM_CMDOSFRM,GEL,Gel,5
CM_CMDOSFRM,INHALANT,Inhalant,6
CM_CMDOSFRM,INJECTABLE,Injectable,7
CM_CMDOSFRM,LIQUID,Liquid,8
CM_CMDOSFRM,OINTMENT,Ointment,9
CM_CMDOSFRM,PATCH,Patch,10
CM_CMDOSFRM,POWDER,Powder,11
CM_CMDOSFRM,SPRAY,Spray,12
CM_CMDOSFRM,SUPPOSITORY,Suppository,13
CM_CMDOSFRM,SUSPENSION,Suspension,14
CM_CMDOSFRM,TABLET,Tablet,15
CM_CMDOSFRM,OTHER,Other,16
CM_CMDOSFRQ,BID,Twice Daily,1
CM_CMDOSFRQ,ONCE,Once,2
CM_CMDOSFRQ,PRN,As Needed,3
CM_CMDOSFRQ,QD,Daily,4
CM_CMDOSFRQ,QOD,Every Other Day,5
CM_CMDOSFRQ,TID,Three Times Daily,6
CM_CMDOSFRQ,UNKNOWN,Unknown,7
CM_CMDOSFRQ,OTHER,Other,8
CM_CMROUTE,INTRALESIONAL,Intralesional,1
CM_CMROUTE,INTRAMUSCULAR,Intramuscular,2
CM_CMROUTE,INTRAOCULAR,Intraocular,3
CM_CMROUTE,INTRAPERITONEAL,Intraperitoneal,4
CM_CMROUTE,NASAL,Nasal,5
CM_CMROUTE,ORAL,Oral,6
CM_CMROUTE,RECTAL,Rectal,7
CM_CMROUTE,RESPIRATORY (INHALATION),Inhalation,8
CM_CMROUTE,SUBCUTANEOUS,Subcutaneous,9
CM_CMROUTE,TOPICAL,Topical,10
CM_CMROUTE,TRANSDERMAL,Transdermal,11
