domain,name,label,data_type,core,control_type,unit,show_when,question_text,hint,is_log,readonly,order
AE,AE_AEYN,Were any adverse events experienced?,Char,Optional,radio,,,Were any adverse events experienced?,"Indicate if the subject experienced any adverse events. If yes, include the appropriate details where indicated on the CRF.",true,,1
AE,AE_AESPID,AE Number,Char,Optional,textInput,,,AE Number,AE Sponsor-Defined Identifier,true,yes,2
AE,AE_AETERM,What is the adverse event term?,Char,Optional,textInput,,,What is the adverse event term?,"Record only one diagnosis, sign, or symptom per line. Using accepted medical terminology, enter the diagnosis (if known); otherwise, enter a sign or symptom.",true,,3
AE,AE_AESTDAT,Start Date,Date,Optional,datePicker,,,Start Date,Record the start date of the AE.,true,,4
AE,AE_AEONGO,Ongoing,Char,Optional,radio,,,Ongoing,Indicate if the adverse event has not resolved at the time of data collection,true,,5
AE,AE_AEENDAT,End Date,Date,Optional,datePicker,,AEONGO=N,End Date,Record the date that the AE resolved/ended.,true,,6
AE,AE_AESEV,Severity,Char,Optional,radio,,,Severity,The reporting physician/healthcare professional will assess the severity of the event using the sponsor-defined categories. Note: Severity is not equivalent to seriousness.,true,,7
AE,AE_AESER,Was the adverse event serious?,Char,Optional,radio,,,Was the adverse event serious?,Assess if an adverse event should be classified as serious based on the serious criteria defined in the protocol.,true,,8
AE,AE_AESDTH,Did the adverse event result in death?,Char,Optional,radio,,AESER=Y,Did the adverse event result in death?,Record whether the serious adverse event resulted in death.,true,,9
AE,AE_AESLIFE,Was the adverse event life threatening?,Char,Optional,radio,,AESER=Y,Was the adverse event life threatening?,Record whether the serious adverse event is life threatening.,true,,10
AE,AE_AESHOSP,Did the adverse event result in initial or prolonged hospitalization for the subject?,Char,Optional,radio,,AESER=Y,Did the adverse event result in initial or prolonged hospitalization for the subject?,Record whether the serious adverse event resulted in an initial or prolonged hospitalization.,true,,11
AE,AE_AESDISAB,Did the adverse event result in disability or permanent damage?,Char,Optional,radio,,AESER=Y,Did the adverse event result in disability or permanent damage?,Record whether the SAE resulted in a persistent or significant disability or incapacity.,true,,12
AE,AE_AESCONG,Was the adverse event associated with a congenital anomaly or birth defect?,Char,Optional,radio,,AESER=Y,Was the adverse event associated with a congenital anomaly or birth defect?,Record whether the SAE was associated with congenital anomaly or birth defect.,true,,13
AE,AE_AESMIE,Was the adverse event a medically important event not covered by other serious criteria?,Char,Optional,radio,,AESER=Y,Was the adverse event a medically important event not covered by other serious criteria?,"Record whether the SAE is an important medical event, defined by the protocol or Investigator Brochure.",true,,14
AE,AE_AEREL,Relationship to Study Treatment,Char,Optional,radio,,,Relationship to Study Treatment,Indicate if the cause of the AE is related to the study treatment and cannot be reasonably explained by other factors.,true,,15
AE,AE_AEACN,Action taken with Study Treatment,Char,Optional,radio,,,Action taken with Study Treatment,Record changes made to the study treatment resulting from the AE.,true,,16
AE,AE_AEACNOTH,Other Action Taken,Char,Optional,textInput,,,Other Action Taken,,true,,17
AE,AE_AEOUT,Outcome,Char,Optional,radio,,,Outcome,Record the appropriate outcome of the event in relation to the subject's status.,true,,18
CM,CM_CMYN,Were any medications/therapies taken?,Char,Optional,radio,,,Were any medications/therapies taken?,"Indicate if the subject took any (concomitant) medications/therapies. If Yes, include the appropriate details where indicated on the CRF.",true,,1
CM,CM_CMSPID,CM Number,Char,Optional,textInput,,,CM Number,,true,yes,2
CM,CM_CMTRT,Medication/Therapy,Char,Optional,textInput,,,What was the (concomitant) [medication/treatment/therapy] (name/term)?,Record only 1 medication/therapy per line. Provide the full trade or proprietary name of the medication/therapy; otherwise the generic name may be recorded.,true,,3
CM,CM_CMINDC,Indication,Char,Optional,textInput,,,For what indication was the (concomitant) [medication/treatment/therapy] taken?,"Record the reason the medication/therapy was taken based on clinical investigator's evaluation. If taken to treat a condition, and a diagnosis was made, the indication should be the diagnosis. If taken to treat a condition, and no diagnosis was made, the indication should be the signs and symptoms. If taken as prophylaxis, report as ""Prophylaxis for"" and include a description of the condition(s).",true,,4
CM,CM_CMDSTXT,Dose,Num,Optional,numberInput,,,What was the individual dose of the (concomitant) [medication/treatment/therapy]?,"Record the dose of medication/therapy taken per administration (e.g., 200).",true,,5
CM,CM_CMDOSU,Unit,Char,Optional,radio,,,What is the unit (for the dose of concomitant [medication/treatment/therapy])?,"Record the dose unit of the dose of concomitant medication/therapy taken (e.g., mg.).",true,,6
CM,CMDOSSPACER,"<span style=""color:#eeeeee"">.</span>",Note,Optional,note,,CMDOSU != OTHER,"<span style=""color:#eeeeee"">.</span>",,true,,7
CM,CM_CMDOSUO,"Other, Specify",Char,Optional,textInput,,CMDOSU == OTHER,"Other, Specify",,true,,8
CM,CM_CMDOSFRM,Dose Form,Char,Optional,radio,,,What was the dose form of the (concomitant) [medication/treatment/therapy]?,"Record the pharmaceutical dosage form (e.g., Capsule, Cream) of delivery for the concomitant medication/therapy taken.",true,,9
CM,CM_CMDOSFRMO,"Other, Specify",Char,Optional,textInput,,CMDOSFRM == OTHER,"Other, Specify",,true,,10
CM,CM_CMDOSFRQ,Frequency,Char,Optional,radio,,,What was the frequency of the (concomitant) [medication/treatment/therapy]?,"Record how often the  medication/therapy was taken (e.g., BID, PRN).",true,,11
CM,CM_CMDOSFRQO,"Dose Frequency Other, Specify",Char,Optional,textInput,,CMDOSFRQ == OTHER,"Dose Frequency Other, Specify",,true,,12
CM,CM_CMROUTE,Route,Char,Optional,radio,,,What was the route of administration of the (concomitant) [medication/treatment/therapy]?,Provide the route of administration for the  medication/therapy.,true,,13
CM,CM_CMROUTEO,"Other, Specify",Char,Optional,textInput,,CMROUTE == OTHER,"Other, Specify",,true,,14
CM,CM_CMSTDAT,What was the (concomitant) [medication/medication/therapy/dose] start date?,Note,Optional,note,,,What was the (concomitant) [medication/medication/therapy/dose] start date?,"Record the date the concomitant medication/therapy was first taken. If the subject has been taking the concomitant medication/therapy for a considerable amount of time prior to the start of the study, it is acceptable to have an incomplete date. Concomitant medication/therapy taken during the study are expected to have a complete start date. Prior concomitant medication/therapy that are exclusionary should have both a start and end date.",true,,15
CM,CM_CMSTDD,Start Day,Char,Optional,radio,,,What was the (concomitant) [medication/treatment/therapy/dose] start day?,,true,,16
CM,CM_CMSTMO,Start Month,Char,Optional,radio,,,What was the (concomitant) [medication/treatment/therapy/dose] start month?,,true,,17
CM,CM_CMSTYY,Start Year,Date,Required,datePicker,,,What was the (concomitant) [medication/treatment/therapy/dose] start year?,,true,,18
CM,CM_CMONGO,Ongoing,Char,Optional,radio,,,Was the (concomitant) [medication/treatment/therapy] ongoing (as of [the study-specific time point or period])?,"Record the concomitant medication/therapy as ongoing if the subject has not stopped taking the concomitant medication/therapy at [the timepoint defined by the study]. If the concomitant medication is ongoing, the end date should be left blank.",true,,19
CM,CM_CMENDAT,End Date,Date,Optional,datePicker,,CMONGO=N,What was the (concomitant) [medication/treatment/therapy/dose] end date?,Record the date the concomitant medication/therapy was stopped.,true,,20
MH,MH_MHYN,Were any medical conditions or events reported?,Char,Optional,radio,,,Were any medical conditions or events reported?,"Indicate if the subject experienced any medical conditions or events. If yes, include the appropriate details where indicated on the CRF.",true,,1
MH,MH_MHSPID,MH Number,Char,Optional,textInput,,,MH Number,Number,true,yes,2
MH,MH_MHDAT,Collection Date,Date,Optional,datePicker,,,What was the date the medical history was collected?,Record the date on which the Medical History was collected.,true,,3
MH,MH_MHTERM,Medical History Term,Char,Optional,textInput,,,What is the medical condition or event term?,"Record all relevant medical conditions or events, as defined in the protocol. Record only 1 medical condition or event per line. Ensure that the medical conditions or events listed on the Medical History page do not meet any of the exclusion criteria.",true,,4
MH,MH_MHSTDAT,Start Date,Date,Optional,datePicker,,,What [is/was] the [medical event or condition/category of the event] start date?,Record the start date of the medical event or condition.,true,,5
MH,MH_MHONGO,Ongoing,Char,Optional,radio,,,Is the medical condition or event ongoing (as of the [study-specific timepoint or period])?,"Record the medical condition or event as ongoing (""Y"") if it has not ended at the time of data collection.",true,,6
MH,MH_MHENDAT,End Date,Date,Optional,datePicker,,MHONGO=N,What[is/was] the[medical event or condition/category of the event] end date?,Record the end date of the medical event or condition.,true,,7
MH,MHENDATSPACER,"<span style=""color:#eeeeee"">.</span>",Note,Optional,note,,MHONGO != N,"<span style=""color:#eeeeee"">.</span>",,true,,8
DM,DM_BRTHDAT,Birth Date,Date,Optional,datePicker,,,What is the subject's date of birth?,"Record the date of birth to the level of precision known (e.g., day/month/year, year, month/year, etc.).",false,,1
